,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,11,2,9,3.5,5,4.5,5,5,34,7.5,0,1,4,4,2,0,18.5,52.5,2022B3A70648P,Green,1102
,,,,49,2,9,3,4,5,4,4,31,2.5,6,3,1,4,2,3,21.5,52.5,2023A7PS0668P,Green,1132
,,,,27,2,7,1,2,0,5,0,17,9,10,3.5,4,2,2,4,34.5,51.5,2022A3PS1203P,Green,1059
,,,,39.5,2,5,3,4,4,5,4,27,6,7,2,1,4,2,2,24,51,2022B5A71326P,Green,1150
,,,,21,2,8,3,4,4,5,4,30,4,3,1,4,4,2,3,21,51,2022A8PS1238P,Green,1247
,,,,19,2,9,4,4,5,5,4,33,2.5,6,0,3.5,4,2,0,18,51,2022A7PS0171P,Green,1272
,,,,32,2,7,4,4,5,5,3,30,4.5,10,0,0,4,2,0,20.5,50.5,2022A3PS0465P,Green,1117
,,,,37.5,2,8,2,3,5,4,5,29,10,8,0,0,3,0,0,21,50,2023A7PS0609P,Yellow,1282
,,,,44.5,2,7,4,4,3,3,5,28,5,7,2,2,4,2,0,22,50,2022B5A70688P,Green,1149
,,,,25,0,7.5,3.5,5,5,5,5,31,7,5,1,2,3,1,0,19,50,2023A7PS0639P,Green,1212
,,,,38,2,9,4,3,2,5,5,30,2.5,6,1.5,0.5,4,2,3,19.5,49.5,2022AAPS0198P,Green,1064
,,,,41.5,2,9,4,4,3,4,5,31,6.5,2,2,0,3,2,2.5,18,49,2022B4A70601P,Green,1244
,,,,30,1,9,4,3,5,5,5,32,5,5,1.5,0,3,2,0,16.5,48.5,2022B4A70596P,Green,1058
,,,,51,2,9,4,5,5,5,5,35,3,2.5,0.5,1,4,2,0,13,48,2022B5A70786P,Green,1010
,,,,23,1,2.5,1.5,2.5,1.5,1.5,1.5,12,9.5,8,4,4,4,2,4.5,36,48,2023A7PS0672P,Green,1182
,,,,55,2,9,4,4,4.5,5,5,33.5,6,6,0,0,1,1,0,14,47.5,2022B4A70920P,Green,1213
,,,,52,1,6,3,3,3,5,4,25,5,5,4,0,2.5,2,4,22.5,47.5,2022B1A71145P,Green,1277
,,,,11.5,2,5,4,4,3.5,3.5,4,26,2.5,6,4.5,0,3,2,3,21,47,2023A7PS0597P,Green,1045
,,,,7,2,9,3,4,5,5,4,32,5,10,0,0,0,0,0,15,47,2022A7PS1184P,Green,1139
,,,,19,2,6,3,2,3,5,2,23,8,8,2,0,4,2,0,24,47,2022B1A70930P,Green,1276
,,,,30,2,7.5,1.5,5,5,5,5,31,4,5,0,0.5,4,2,0,15.5,46.5,2022B3A70581P,Green,1061
,,,,30,2,8,3,4,4.5,5,5,31.5,8,3,0,0,2,2,0,15,46.5,2021B5A32512P,Green,1183
,,,,18,2,9,4,5,5,5,5,35,5,3,0,2,0,0,0.5,10.5,45.5,2023A7PS0045P,Green,1250
,,,,36,2,7,4,4,5,4,5,31,3,4,0,2,3.5,2,0,14.5,45.5,2022B4A70720P,Green,1255
,,,,23.5,2,9,4,3,4,5,4,31,5,7,2,0,0,0,0,14,45,2022B3A70604P,Green,1152
,,,,31,2,9,4,4,4,4,5,32,2.5,4,2,0,1,2,1,12.5,44.5,2023A7PS0001P,Green,1053
,,,,28.5,2,7,3.5,3,4,5,4,28.5,6,5,0,0,2,1,2,16,44.5,2022A8PS1244P,Green,1169
,,,,30.5,2,6.5,3.5,3.5,3.5,4.5,2.5,26,5,5,1,1.5,2,2,1.5,18,44,2022B3A70568P,Green,1166
,,,,11.5,2,9,4,4,4,5,4,32,10,2,0,0,0,0,0,12,44,2022B3A70518P,Green,1229
,,,,32.5,2,9,3.5,4,4,4.5,5,32,3,4,1.5,1,0,2,0,11.5,43.5,2023A7PS0590P,Green,1033
,,,,17.5,2,9,3,3,5,3,5,30,5,2,0.5,0,4,2,0,13.5,43.5,2022B3A70637P,Green,1078
,,,,5,2,9,4,3,3,4,4,29,10,4,0,0,0,0,0,14,43,2022B3A70525P,Green,1098
,,,,47,2,6,2,5,4,5,5,29,5,0,0,3.5,2,2,1.5,14,43,2022B4A71564P,Green,1218
,,,,33,2,7,3,4,4,5,5,30,4,0,0.5,2.5,4,2,0,13,43,2022B3A70922P,Green,1234
,,,,35.5,2,7,4,3,5,0,0,21,3.5,1,4,4,4,2,3,21.5,42.5,2022B3A70535P,Green,1223
,,,,68,2,9,4,3,3,5,5,31,5,1,0,0,3,2,0,11,42,2023A7PS0675P,Green,1067
,,,,30,2,3,0,5,5,5,4,24,5,6,0,1,2,2,2,18,42,2023A7PS0644P,Green,1148
,,,,18,2,9,4,4.5,2.5,4.5,5,31.5,2.5,1,0,0.5,4,2,0,10,41.5,2022B2A71602P,Green,1048
,,,,46,2,9,3,5,5,5,5,34,1,2,0,0,4,0,0,7,41,2023A7PS0571P,Green,1238
,,,,26,2,7,2,5,5,5,4.5,30.5,2.5,3,0.5,0,2,2,0,10,40.5,2023A7PS0648P,Green,1103
,,,,47.5,2,8,2,3.5,2.5,4,3,25,5,1,0.5,4,3,2,0,15.5,40.5,2022B3A70413P,Green,1122
,,,,19,2,8,0,5,3,5,4,27,1,10,2.5,0,0,0,0,13.5,40.5,2022B4A70592P,Green,1159
,,,,51,2,9,3,4,0,5,3,26,6,0,2,1,3,2,0.5,14.5,40.5,2022B5A70763P,Yellow,1288
,,,,31.5,2,9,4,4,1.5,4,5,29.5,1.5,3,0.5,1.5,2,2,0.5,11,40.5,2023A7PS0016P,Green,1268
,,,,12,1,8,3,2,3,4,3,24,5,6,0,3.5,0,2,0,16.5,40.5,2022B3A70259P,Green,1271
,,,,51,2,7,3,4,4,5,5,30,7.5,0,2,0,0,0,0,9.5,39.5,2022A3PS0526P,Green,1240
,,,,15,2,7,0,4,3.5,4,5,25.5,2.5,5,0,0,4,2,0,13.5,39,2023A7PS0535P,Green,1031
,,,,36,2,9,4,4,4,3,5,31,3.5,3,1.5,0,0,0,0,8,39,2021AAPS1485P,Green,1249
,,,,13,2,4,3.5,4,4,4,7,28.5,3,4,0,0,2,1,0,10,38.5,2023A7PS0523P,Green,1264
