,,Quiz1,Quiz1.1,Mid Sem,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Part1 Total,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Part2 Total,CBT Total,Matched ID,Match Status,Folder Name
,,,,24.5,1.5,1,0,1,0,2,1,6.5,0,4,0,0,0,2,0,6,12.5,2022A8PS1720P,Green,1084
,,,,11,0.5,2,2,0,0,0,0,4.5,3,2,0,0,2,1,0,8,12.5,2022B1A70849P,Green,1205
,,,,23.5,1,7,1,1,2,0,0,12,0,0,0,0,0,0,0,0,12,2022B5A71305P,Green,1121
,,,,23,0,3,1,2,0,0,0,6,2,2,0,1,0,1,0,6,12,2022B2A71344P,Green,1145
,,,,8,2,0.5,0,1,1.5,2,4.5,11.5,0,0,0,0,0,0,0,0,11.5,2022B5A70488P,Green,1007
,,,,34.5,2,3,0,0,0,0,0,5,2.5,0,0,0.5,1.5,2,0,6.5,11.5,2023A7PS0649P,Green,1237
,,,,31,0,1,0.5,1,0.5,3,5,11,,,,,,,,0,11,2023A7PS0582P,Green,1008
,,,,22.5,2,1.5,1,0,0,0,0,4.5,0.5,0,0.5,1,2.5,2,0,6.5,11,2022B3A70509P,Green,1018
,,,,18.5,2,7,2,0,0,0,0,11,0,0,0,0,0,0,0,0,11,2022B3A70549P,Green,1119
,,,,9,2,3,2,2,0,1,1,11,0,0,0,0,0,0,0,0,11,2023A7PS0502P,Green,1155
,,,,3,0,2.5,1.5,2.5,1.5,1.5,1.5,11,,,,,,,,0,11,2023A7PS0664P,Green,1172
,,,,24,0,3,0,0,0,0,0,3,0.5,5,0,0,1.5,0,0,7,10,2022B5A71313P,Green,1037
,,,,4,0,1,0,0,0,0,0,1,4,3,0,0,1,1,0,9,10,2023A7PS0657P,Green,1170
,,,,13,,,,,,,,0,3,3,0,1,2,1,0,10,10,2022B5A70814P,Green,1195
,,,,47,,,,,,,,0,0,2,1,5,1,0,0.5,9.5,9.5,2021B2A82480P,Green,1038
,,,,11,2,4,1,1.5,1,0,0,9.5,0,0,0,0,0,0,0,0,9.5,2023A7PS0630P,Green,1044
,,,,0,2,1.5,0,0,0,0,0,3.5,0,0,0,0.5,4,0,0,4.5,8,2023A7PS0585P,Yellow,1304
,,,,6.5,0,6,0,1,0,0,0,7,0,1,0,0,0,0,0,1,8,2023A7PS0572P,Green,1082
,,,,16.5,2,3,0,0,1,1,1,8,0,0,0,0,0,0,0,0,8,2023A7PS0595P,Green,1086
,,,,9.5,2,3,1,2,0,0,0,8,0,0,0,0,0,0,0,0,8,2023A7PS0022P,Yellow,1298
,,,,6,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,8,8,2021B3A71113P,Green,1189
,,,,13,0,3.5,1.5,0,0,2.5,0,7.5,,,,,,,,0,7.5,2023A7PS0607P,Green,1199
,,,,14,1,2,0,2,2,0,0,7,0,0,0,0,0,0,0,0,7,2023A7PS0500P,Yellow,1300
,,,,4,2,2.5,2,0,0,0,0,6.5,0,0,0,0,0,0,0,0,6.5,2023A7PS0536P,Green,1143
,,,,12,2,2.5,0.5,0,0,0.5,0,5.5,0,0.5,0,0,0,0,0,0.5,6,2023A7PS0485P,Yellow,1301
,,,,4,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,6,6,2023A7PS0599P,Green,1146
,,,,12,1,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,6,2023A7PS0510P,Green,1260
,,,,4,2,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,6,2023A7PS0631P,Green,1266
,,,,10.5,1,1,1,0,0,2,0,5,0,0,0,0,0,0,0,0,5,2023A7PS0614P,Green,1050
,,,,8,0,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,5,2023A7PS0663P,Green,1096
,,,,4,1,2,1,1,0,0,0,5,,,,,,,,0,5,2023A7PS0534P,Green,1135
,,,,11,2,1,0,1,0,1,0,5,0,0,0,0,0,0,0,0,5,2023A7PS0606P,Green,1138
,,,,2,0,3,0,0,1,1,0,5,0,0,0,0,0,0,0,0,5,2023A7PS0583P,Yellow,1302
,,,,9,0,3,1,1,0,0,0,5,0,0,0,0,0,0,0,0,5,2023A7PS0637P,Green,1233
,,,,3,0,0,0,2,1,1,1,5,0,0,0,0,0,0,0,0,5,2023A7PS0594P,Green,1251
,,,,0,2,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,2023A7PS0593P,Yellow,1303
,,,,14.5,0.5,0,1.5,0.5,1,1,0,4.5,0,0,0,0,0,0,0,0,4.5,2022A7PS1183P,Green,1021
,,,,2.5,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2023A7PS0610P,Green,1041
,,,,22,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,2023A7PS0517P,Green,1080
,,,,8,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,4,2023A7PS0522P,Green,1116
,,,,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,2023A7PS0667P,Green,1134
,,,,22,0.5,1.5,1.5,0,0,0,0,3.5,0,0,0,0,0.5,0,0,0.5,4,2023A7PS0548P,Green,1179
,,,,13.5,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,3,2023A7PS0654P,Green,1012
,,,,1.5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2023A7PS0551P,Green,1089
,,,,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,2023A7PS0676P,Green,1093
,,,,8,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,2023A7PS0514P,Yellow,1305
,,,,2,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,3,2023A7PS0666P,Green,1147
,,,,7,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,2023A7PS0625P,Green,1219
,,,,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,2023A7PS0488P,Green,1245
,,,,13.5,0,1,0,1.5,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,2023A7PS0633P,Green,1049
,,,,9,0.5,2,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,2023A7PS0554P,Green,1071
,,,,2,0,2,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0.5,2.5,2023A7PS0513P,Green,1232
,,,,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2023A7PS0529P,Green,1004
,,,,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2023A7PS0566P,Green,1072
,,,,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2023A7PS0601P,Yellow,1307
,,,,5.5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2023A7PS0549P,Yellow,1306
,,,,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2023A7PS0537P,Green,1242
,,,,9.5,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,2023A7PS0569P,Green,1009
,,,,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2023A7PS0490P,Green,1023
,,,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023A7PS0540P,Green,1065
,,,,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2023A7PS0661P,Green,1069
,,,,10.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023A7PS0555P,Green,1075
,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2023A7PS0516P,Green,1092
,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2023A7PS0547P,Green,1228
,,,,4,0,0,0.5,0,0,0,0,0.5,,,,,,,,0,0.5,2023A7PS0670P,Yellow,1308
,,,,2,,,,,,,,0,,,,,,,,0,0,2023A7PS0505P,Yellow,1311
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0528P,Green,1019
,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0497P,Green,1022
,,,,27.5,,,,,,,,0,0,0,0,0,0,0,0,0,0,2022B5A70636P,Green,1025
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0626P,Green,1046
,,,,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0602P,Green,1099
,,,,10,,,,,,,,0,0,0,0,0,0,0,0,0,0,2023A7PS0616P,Green,1112
,,,,15.5,,,,,,,,0,0,0,0,0,0,0,0,0,0,2023A7PS0623P,Green,1113
,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0019P,Yellow,1310
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0556P,Green,1151
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0521P,Green,1160
,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,2023A7PS0486P,Green,1171
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021A7PS0493P,Green,1173
,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0519P,Green,1175
,,,,17,,,,,,,,0,,,,,,,,0,0,2022B3A70474P,Green,1188
,,,,34,,,,,,,,0,,,,,,,,0,0,2022B2A71101P,Green,1209
,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0509P,Green,1256
,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0533P,Yellow,1312
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023A7PS0635P,Yellow,1314
